0,!,40
0,%,33
0,&,38
0,(,16
0,),17
0,*,34
0,+,1
0,-,2
0,/,35
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,:,18
0,<,21
0,=,28
0,>,25
0,A,9
0,B,9
0,C,9
0,D,9
0,E,9
0,F,9
0,G,9
0,H,9
0,I,9
0,J,9
0,K,9
0,L,9
0,M,9
0,N,9
0,O,9
0,P,9
0,Q,9
0,R,9
0,S,9
0,T,9
0,U,9
0,V,9
0,W,9
0,X,9
0,Y,9
0,Z,9
0,[,13
0,],12
0,_,10
0,a,9
0,b,9
0,c,9
0,d,9
0,e,9
0,f,9
0,g,9
0,h,9
0,i,9
0,j,9
0,k,9
0,l,9
0,m,9
0,n,9
0,o,9
0,p,9
0,q,9
0,r,9
0,s,9
0,t,9
0,u,9
0,v,9
0,w,9
0,x,9
0,y,9
0,z,9
0,{,14
0,|,36
0,},15
1,+,30
1,-,2
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
1,=,31
2,,32
2,+,1
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
3,,8
3,.,4
3,0,3
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
3,6,3
3,7,3
3,8,3
3,9,3
3,E,5
3,e,5
4,,8
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,E,5
4,e,5
5,+,6
5,-,6
5,0,7
5,1,7
5,2,7
5,3,7
5,4,7
5,5,7
5,6,7
5,7,7
5,8,7
5,9,7
6,0,7
6,1,7
6,2,7
6,3,7
6,4,7
6,5,7
6,6,7
6,7,7
6,8,7
6,9,7
7,,8
9,0,9
9,1,9
9,2,9
9,3,9
9,4,9
9,5,9
9,6,9
9,7,9
9,8,9
9,9,9
9,A,9
9,B,9
9,C,9
9,D,9
9,E,9
9,F,9
9,G,9
9,H,9
9,I,9
9,J,9
9,K,9
9,L,9
9,M,9
9,N,9
9,O,9
9,P,9
9,Q,9
9,R,9
9,S,9
9,T,9
9,U,9
9,V,9
9,W,9
9,X,9
9,Y,9
9,Z,9
9,_,10
9,a,9
9,b,9
9,c,9
9,d,9
9,e,9
9,f,9
9,g,9
9,h,9
9,i,9
9,j,9
9,k,9
9,l,9
9,m,9
9,n,9
9,o,9
9,p,9
9,q,9
9,r,9
9,s,9
9,t,9
9,u,9
9,v,9
9,w,9
9,x,9
9,y,9
9,z,9
10,,11
10,0,10
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,10
10,7,10
10,8,10
10,9,10
10,A,10
10,B,10
10,C,10
10,D,10
10,E,10
10,F,10
10,G,10
10,H,10
10,I,10
10,J,10
10,K,10
10,L,10
10,M,10
10,N,10
10,O,10
10,P,10
10,Q,10
10,R,10
10,S,10
10,T,10
10,U,10
10,V,10
10,W,10
10,X,10
10,Y,10
10,Z,10
10,_,10
10,a,10
10,b,10
10,c,10
10,d,10
10,e,10
10,f,10
10,g,10
10,h,10
10,i,10
10,j,10
10,k,10
10,l,10
10,m,10
10,n,10
10,o,10
10,p,10
10,q,10
10,r,10
10,s,10
10,t,10
10,u,10
10,v,10
10,w,10
10,x,10
10,y,10
10,z,10
18,:,19
18,=,20
21,,42
21,<,22
21,=,23
21,>,24
25,,43
25,=,27
25,>,26
28,=,29
36,|,37
38,&,39
40,=,41
